Date,Type,RefNo,SNO,Cur,TUPrice,Amt,Customer,StkISN,CatCode
02/01/2015,ICG,133482,1,S$,0,20250.0,IY03,10126,MH
02/01/2015,ICG,133482,2,S$,22.5,540.0,IY03,10011,BN
02/01/2015,ICG,133482,3,S$,22.5,180.0,IY03,10010,BN
02/01/2015,ICG,133482,4,S$,22.5,180.0,IY03,10008,BN
02/01/2015,ICG,133482,5,S$,22.5,180.0,IY03,10012,BN
02/01/2015,ICG,133483,1,S$,15.9,7950.0,IL12,40366,TN
02/01/2015,ICG,133483,2,S$,13.9,4170.0,IL12,46601,TN
02/01/2015,ICG,133484,1,S$,12.3,3075.0,MC09,43022,TN
02/01/2015,ICG,133484,2,S$,4.2,1348.62,MC09,40724,PPDR
02/01/2015,ICG,133484,3,S$,4.2,1010.94,MC09,40725,PPDR
02/01/2015,ICG,133484,4,S$,4.2,844.62,MC09,40861,PPDR
02/01/2015,ICG,133484,5,S$,3.4,565.42,MC09,10466,PPDR
02/01/2015,ICG,133484,6,S$,22.5,225.0,MC09,10005,BN
02/01/2015,ICG,133484,7,S$,22.5,225.0,MC09,10006,BN
02/01/2015,ICG,133484,8,S$,22.5,225.0,MC09,10008,BN
02/01/2015,ICG,133484,9,S$,310,620.0,MC09,42597,ML
02/01/2015,ICG,133484,10,S$,310,930.0,MC09,42598,ML
02/01/2015,ICG,133484,11,S$,310,620.0,MC09,10128,ML
02/01/2015,ICG,133484,12,S$,12.1,2420.0,MC09,10497,TN
02/01/2015,ICG,133484,13,S$,4.2,170.52,MC09,45109,PR03
02/01/2015,ICG,133484,14,S$,4.2,168.0,MC09,10340,PR03
02/01/2015,ICG,133484,15,S$,4.2,168.84,MC09,45108,PR03
02/01/2015,ICG,133484,16,S$,4.2,171.36,MC09,45111,PR03
02/01/2015,ICG,133484,17,S$,4.2,173.88,MC09,45110,PR03
02/01/2015,ICG,133484,18,S$,25,250.0,MC09,44895,NMCN
02/01/2015,ICG,133484,19,S$,35,350.0,MC09,44237,NMCN
02/01/2015,ICG,133484,20,S$,47,470.0,MC09,44240,NMCN
02/01/2015,ICG,133484,21,S$,40.5,283.5,MC09,44239,NMCN
02/01/2015,ICG,133484,22,S$,12.3,2460.0,MC09,40888,TN
02/01/2015,ICG,133484,23,S$,4.8,311.04,MC09,10360,PR04
02/01/2015,ICG,133484,24,S$,4.8,132.48,MC09,45154,SPL3.5
02/01/2015,ICG,133484,25,S$,4.8,19.2,MC09,45152,SPL3.5
02/01/2015,ICG,133484,26,S$,4.8,58.08,MC09,45151,SPL3.5
